date,covers,avg_duration_min,day_of_week
29/12/2024,15,90,Sunday
30/12/2024,50,120,Monday
31/12/2024,58,120,Tuesday
01/01/2025,56,120,Wednesday
02/01/2025,24,120,Thursday
04/01/2025,9,120,Saturday
05/01/2025,35,120,Sunday
06/01/2025,7,120,Monday
07/01/2025,56,120,Tuesday
08/01/2025,75,90,Wednesday
09/01/2025,33,120,Thursday
11/01/2025,12,120,Saturday
12/01/2025,35,120,Sunday
13/01/2025,47,120,Monday
14/01/2025,90,120,Tuesday
15/01/2025,116,120,Wednesday
16/01/2025,53,120,Thursday
18/01/2025,37,120,Saturday
19/01/2025,42,120,Sunday
20/01/2025,44,120,Monday
21/01/2025,68,120,Tuesday
22/01/2025,68,120,Wednesday
23/01/2025,25,120,Thursday
25/01/2025,33,120,Saturday
26/01/2025,17,120,Sunday
27/01/2025,44,120,Monday
28/01/2025,64,120,Tuesday
29/01/2025,47,90,Wednesday
30/01/2025,24,120,Thursday
01/02/2025,31,120,Saturday
02/02/2025,56,120,Sunday
03/02/2025,43,120,Monday
04/02/2025,66,120,Tuesday
05/02/2025,103,120,Wednesday
06/02/2025,33,120,Thursday
08/02/2025,35,120,Saturday
09/02/2025,45,120,Sunday
10/02/2025,45,120,Monday
11/02/2025,154,120,Tuesday
12/02/2025,119,120,Wednesday
13/02/2025,22,90,Thursday
15/02/2025,24,120,Saturday
16/02/2025,38,120,Sunday
17/02/2025,62,120,Monday
18/02/2025,68,120,Tuesday
19/02/2025,76,90,Wednesday
20/02/2025,24,120,Thursday
22/02/2025,37,120,Saturday
23/02/2025,42,120,Sunday
24/02/2025,36,120,Monday
25/02/2025,65,120,Tuesday
26/02/2025,95,120,Wednesday
27/02/2025,44,90,Thursday
01/03/2025,17,120,Saturday
02/03/2025,30,120,Sunday
03/03/2025,36,120,Monday
04/03/2025,82,120,Tuesday
05/03/2025,82,90,Wednesday
06/03/2025,79,120,Thursday
08/03/2025,22,120,Saturday
09/03/2025,52,120,Sunday
10/03/2025,54,120,Monday
11/03/2025,78,120,Tuesday
12/03/2025,92,120,Wednesday
13/03/2025,43,90,Thursday
15/03/2025,23,120,Saturday
16/03/2025,36,120,Sunday
17/03/2025,46,120,Monday
18/03/2025,47,120,Tuesday
19/03/2025,83,120,Wednesday
20/03/2025,39,120,Thursday
22/03/2025,33,120,Saturday
23/03/2025,24,120,Sunday
24/03/2025,64,120,Monday
25/03/2025,65,120,Tuesday
26/03/2025,42,120,Wednesday
27/03/2025,125,90,Thursday
29/03/2025,18,120,Saturday
30/03/2025,27,120,Sunday
31/03/2025,49,120,Monday
01/04/2025,76,120,Tuesday
02/04/2025,86,120,Wednesday
03/04/2025,27,90,Thursday
05/04/2025,32,120,Saturday
06/04/2025,38,120,Sunday
07/04/2025,58,120,Monday
08/04/2025,56,120,Tuesday
09/04/2025,59,120,Wednesday
10/04/2025,35,120,Thursday
12/04/2025,29,120,Saturday
13/04/2025,15,120,Sunday
14/04/2025,55,120,Monday
15/04/2025,25,120,Tuesday
16/04/2025,37,120,Wednesday
19/04/2025,8,90,Saturday
20/04/2025,37,120,Sunday
21/04/2025,38,120,Monday
22/04/2025,80,120,Tuesday
23/04/2025,107,120,Wednesday
24/04/2025,21,90,Thursday
26/04/2025,51,120,Saturday
27/04/2025,51,120,Sunday
28/04/2025,27,120,Monday
29/04/2025,72,120,Tuesday
30/04/2025,47,120,Wednesday
01/05/2025,74,90,Thursday
04/05/2025,30,120,Sunday
05/05/2025,25,120,Monday
06/05/2025,71,120,Tuesday
07/05/2025,75,120,Wednesday
08/05/2025,27,90,Thursday
10/05/2025,36,120,Saturday
11/05/2025,31,120,Sunday
12/05/2025,23,90,Monday
13/05/2025,66,120,Tuesday
14/05/2025,68,120,Wednesday
15/05/2025,58,90,Thursday
17/05/2025,14,120,Saturday
18/05/2025,40,120,Sunday
19/05/2025,50,120,Monday
20/05/2025,75,120,Tuesday
21/05/2025,94,120,Wednesday
22/05/2025,15,120,Thursday
24/05/2025,34,120,Saturday
25/05/2025,39,120,Sunday
26/05/2025,39,120,Monday
27/05/2025,56,120,Tuesday
28/05/2025,51,120,Wednesday
29/05/2025,36,90,Thursday
31/05/2025,48,120,Saturday
01/06/2025,40,120,Sunday
02/06/2025,63,120,Monday
03/06/2025,69,120,Tuesday
04/06/2025,84,120,Wednesday
05/06/2025,39,90,Thursday
07/06/2025,17,120,Saturday
08/06/2025,82,120,Sunday
09/06/2025,27,120,Monday
10/06/2025,72,120,Tuesday
11/06/2025,56,120,Wednesday
12/06/2025,118,90,Thursday
14/06/2025,44,120,Saturday
15/06/2025,36,120,Sunday
16/06/2025,30,120,Monday
17/06/2025,53,120,Tuesday
18/06/2025,60,120,Wednesday
19/06/2025,20,90,Thursday
21/06/2025,33,120,Saturday
22/06/2025,29,120,Sunday
23/06/2025,27,120,Monday
24/06/2025,54,120,Tuesday
25/06/2025,53,120,Wednesday
26/06/2025,39,120,Thursday
28/06/2025,42,120,Saturday
29/06/2025,21,120,Sunday
30/06/2025,17,120,Monday
01/07/2025,82,120,Tuesday
02/07/2025,63,120,Wednesday
03/07/2025,56,90,Thursday
05/07/2025,85,120,Saturday
06/07/2025,52,120,Sunday
07/07/2025,71,120,Monday
08/07/2025,23,120,Tuesday
09/07/2025,65,120,Wednesday
10/07/2025,31,120,Thursday
12/07/2025,114,120,Saturday
13/07/2025,43,120,Sunday
14/07/2025,22,120,Monday
15/07/2025,56,120,Tuesday
16/07/2025,68,120,Wednesday
17/07/2025,34,120,Thursday
19/07/2025,33,120,Saturday
20/07/2025,54,120,Sunday
21/07/2025,27,120,Monday
22/07/2025,55,120,Tuesday
23/07/2025,95,120,Wednesday
24/07/2025,34,120,Thursday
26/07/2025,60,120,Saturday
27/07/2025,65,120,Sunday
28/07/2025,54,120,Monday
29/07/2025,63,120,Tuesday
30/07/2025,80,90,Wednesday
31/07/2025,42,120,Thursday
02/08/2025,23,120,Saturday
03/08/2025,39,120,Sunday
04/08/2025,24,120,Monday
05/08/2025,68,120,Tuesday
06/08/2025,43,120,Wednesday
07/08/2025,36,90,Thursday
09/08/2025,12,120,Saturday
10/08/2025,26,120,Sunday
11/08/2025,39,120,Monday
12/08/2025,60,120,Tuesday
13/08/2025,43,120,Wednesday
14/08/2025,15,120,Thursday
16/08/2025,33,120,Saturday
17/08/2025,35,120,Sunday
18/08/2025,14,120,Monday
19/08/2025,46,120,Tuesday
20/08/2025,41,120,Wednesday
21/08/2025,25,120,Thursday
23/08/2025,11,120,Saturday
24/08/2025,23,120,Sunday
25/08/2025,45,120,Monday
26/08/2025,66,120,Tuesday
27/08/2025,60,120,Wednesday
