Grouping Type,Grouping Value,Advance Covers,Same Day Covers,Walk In Covers,Total Covers,Average Duration,Average Spend,Total Spend
Visit Date,01/01/2025,0,6,4,10,99,0,0
Visit Date,02/01/2025,17,14,6,37,110,0,0
Visit Date,03/01/2025,20,9,13,42,108,0,0
Visit Date,04/01/2025,34,8,0,42,112,0,0
Visit Date,05/01/2025,13,0,5,18,114,0,0
Visit Date,07/01/2025,4,2,0,6,120,0,0
Visit Date,08/01/2025,18,0,7,25,120,0,0
Visit Date,09/01/2025,0,5,0,5,120,0,0
Visit Date,10/01/2025,33,9,0,42,112,0,0
Visit Date,11/01/2025,39,16,0,55,104,0,0
Visit Date,12/01/2025,13,12,0,25,115,0,0
Visit Date,14/01/2025,4,4,0,8,110,0,0
Visit Date,15/01/2025,10,8,6,24,114,0,0
Visit Date,16/01/2025,27,4,4,35,118,0,0
Visit Date,17/01/2025,46,17,0,66,108,0,0
Visit Date,18/01/2025,60,12,10,85,109,0,0
Visit Date,19/01/2025,29,5,5,39,111,0,0
Visit Date,21/01/2025,11,7,5,23,123,0,0
Visit Date,22/01/2025,13,6,10,29,115,0,0
Visit Date,23/01/2025,30,2,0,32,113,0,0
Visit Date,24/01/2025,37,8,4,49,114,0,0
Visit Date,25/01/2025,15,24,9,48,110,0,0
Visit Date,26/01/2025,5,9,4,18,115,0,0
Visit Date,28/01/2025,10,9,0,21,113,0,0
Visit Date,29/01/2025,0,2,10,12,112,0,0
Visit Date,30/01/2025,29,4,0,33,115,0,0
Visit Date,31/01/2025,18,26,3,47,111,0,0
Visit Date,01/02/2025,12,19,3,34,105,0,0
Visit Date,02/02/2025,8,3,6,17,115,0,0
Visit Date,04/02/2025,14,0,6,20,120,0,0
Visit Date,05/02/2025,25,4,10,39,115,0,0
Visit Date,06/02/2025,24,2,6,32,110,0,0
Visit Date,07/02/2025,34,9,5,48,109,0,0
Visit Date,08/02/2025,42,22,11,78,108,0,0
Visit Date,09/02/2025,8,2,14,24,115,0,0
Visit Date,11/02/2025,8,5,10,23,116,0,0
Visit Date,12/02/2025,12,13,6,31,117,0,0
Visit Date,13/02/2025,19,13,0,32,115,0,0
Visit Date,14/02/2025,88,8,7,103,106,0,0
Visit Date,15/02/2025,68,10,9,87,105,0,0
Visit Date,16/02/2025,4,0,12,16,100,0,0
Visit Date,18/02/2025,7,0,8,15,120,0,0
Visit Date,19/02/2025,7,9,11,27,120,0,0
Visit Date,20/02/2025,21,11,13,45,119,0,0
Visit Date,21/02/2025,31,8,10,49,108,0,0
Visit Date,22/02/2025,39,18,0,57,103,0,0
Visit Date,23/02/2025,0,0,14,18,110,0,0
Visit Date,25/02/2025,9,6,9,24,113,0,0
Visit Date,26/02/2025,27,2,0,29,120,0,0
Visit Date,27/02/2025,8,17,0,25,111,0,0
Visit Date,28/02/2025,32,13,2,47,113,0,0
Visit Date,01/03/2025,48,20,2,71,120,0,0
Visit Date,02/03/2025,24,6,2,32,103,0,0
Visit Date,04/03/2025,6,2,3,11,120,0,0
Visit Date,05/03/2025,11,8,2,21,120,0,0
Visit Date,06/03/2025,20,5,2,27,116,0,0
Visit Date,07/03/2025,32,15,15,62,114,0,0
Visit Date,08/03/2025,34,14,7,59,104,0,0
Visit Date,09/03/2025,32,8,19,59,105,0,0
Visit Date,11/03/2025,3,2,9,14,115,0,0
Visit Date,12/03/2025,21,6,9,36,115,0,0
Visit Date,13/03/2025,29,4,7,40,118,0,0
Visit Date,14/03/2025,45,6,5,56,108,0,0
Visit Date,15/03/2025,42,19,6,67,111,0,0
Visit Date,16/03/2025,13,7,11,31,102,0,0
Visit Date,18/03/2025,2,8,5,15,117,0,0
Visit Date,19/03/2025,20,3,3,26,120,0,0
Visit Date,20/03/2025,20,11,2,33,117,0,0
Visit Date,21/03/2025,14,10,11,35,110,0,0
Visit Date,22/03/2025,49,14,0,63,110,0,0
Visit Date,23/03/2025,3,13,12,28,106,0,0
Visit Date,25/03/2025,7,12,2,21,120,0,0
Visit Date,26/03/2025,8,6,2,16,120,0,0
Visit Date,27/03/2025,18,23,6,47,110,0,0
Visit Date,28/03/2025,23,10,15,48,120,0,0
Visit Date,29/03/2025,13,3,15,31,108,0,0
Visit Date,30/03/2025,63,24,6,93,104,0,0
Visit Date,01/04/2025,6,0,6,12,117,0,0
Visit Date,02/04/2025,6,2,11,19,116,0,0
Visit Date,03/04/2025,20,8,8,36,114,0,0
Visit Date,04/04/2025,34,8,14,56,112,0,0
Visit Date,05/04/2025,40,14,9,63,114,0,0
Visit Date,06/04/2025,6,6,8,20,98,0,0
Visit Date,08/04/2025,8,10,2,20,112,0,0
