Grouping Type,Grouping Value,Advance Bookings,Same Day Bookings,Walk In Bookings,Total Bookings,Average Duration,Average Spend,Total Spend
Visit Date,01/01/2025,0,3,2,5,99,0,0
Visit Date,02/01/2025,4,5,3,12,110,0,0
Visit Date,03/01/2025,5,4,5,14,108,0,0
Visit Date,04/01/2025,6,2,0,8,112,0,0
Visit Date,05/01/2025,2,0,3,5,114,0,0
Visit Date,07/01/2025,2,1,0,3,120,0,0
Visit Date,08/01/2025,4,0,4,8,120,0,0
Visit Date,09/01/2025,0,2,0,2,120,0,0
Visit Date,10/01/2025,9,3,0,12,112,0,0
Visit Date,11/01/2025,12,7,0,19,104,0,0
Visit Date,12/01/2025,4,2,0,6,115,0,0
Visit Date,14/01/2025,2,1,0,3,110,0,0
Visit Date,15/01/2025,5,2,3,10,114,0,0
Visit Date,16/01/2025,8,2,1,11,118,0,0
Visit Date,17/01/2025,15,7,0,23,108,0,0
Visit Date,18/01/2025,16,5,4,26,109,0,0
Visit Date,19/01/2025,5,2,2,9,111,0,0
Visit Date,21/01/2025,3,3,2,8,123,0,0
Visit Date,22/01/2025,5,2,4,11,115,0,0
Visit Date,23/01/2025,10,1,0,11,113,0,0
Visit Date,24/01/2025,11,3,2,16,114,0,0
Visit Date,25/01/2025,5,9,4,18,110,0,0
Visit Date,26/01/2025,1,3,2,6,115,0,0
Visit Date,28/01/2025,4,4,0,9,113,0,0
Visit Date,29/01/2025,0,1,3,4,112,0,0
Visit Date,30/01/2025,5,2,0,7,115,0,0
Visit Date,31/01/2025,7,9,1,17,111,0,0
Visit Date,01/02/2025,6,5,1,12,105,0,0
Visit Date,02/02/2025,2,1,3,6,115,0,0
Visit Date,04/02/2025,4,0,2,6,120,0,0
Visit Date,05/02/2025,7,2,5,14,115,0,0
Visit Date,06/02/2025,5,1,3,9,110,0,0
Visit Date,07/02/2025,12,4,3,19,109,0,0
Visit Date,08/02/2025,11,6,4,22,108,0,0
Visit Date,09/02/2025,2,1,7,10,115,0,0
Visit Date,11/02/2025,2,2,5,9,116,0,0
Visit Date,12/02/2025,4,6,3,13,117,0,0
Visit Date,13/02/2025,6,6,0,12,115,0,0
Visit Date,14/02/2025,44,4,4,52,106,0,0
Visit Date,15/02/2025,21,4,3,28,105,0,0
Visit Date,16/02/2025,2,0,4,6,100,0,0
Visit Date,18/02/2025,2,0,3,5,120,0,0
Visit Date,19/02/2025,3,4,5,12,120,0,0
Visit Date,20/02/2025,5,4,6,15,119,0,0
Visit Date,21/02/2025,11,4,4,19,108,0,0
Visit Date,22/02/2025,7,7,0,14,103,0,0
Visit Date,23/02/2025,0,0,5,6,110,0,0
Visit Date,25/02/2025,2,2,3,7,113,0,0
Visit Date,26/02/2025,8,1,0,9,120,0,0
Visit Date,27/02/2025,4,7,0,11,111,0,0
Visit Date,28/02/2025,13,6,1,20,113,0,0
Visit Date,01/03/2025,13,8,1,23,120,0,0
Visit Date,02/03/2025,5,3,1,9,103,0,0
Visit Date,04/03/2025,2,1,2,5,120,0,0
Visit Date,05/03/2025,5,3,1,9,120,0,0
Visit Date,06/03/2025,5,2,1,8,116,0,0
Visit Date,07/03/2025,10,5,5,20,114,0,0
Visit Date,08/03/2025,10,6,4,22,104,0,0
Visit Date,09/03/2025,7,3,7,17,105,0,0
Visit Date,11/03/2025,1,1,4,6,115,0,0
Visit Date,12/03/2025,5,2,4,11,115,0,0
Visit Date,13/03/2025,5,2,4,11,118,0,0
Visit Date,14/03/2025,14,3,2,19,108,0,0
Visit Date,15/03/2025,8,6,3,17,111,0,0
Visit Date,16/03/2025,4,2,6,12,102,0,0
Visit Date,18/03/2025,1,3,2,6,117,0,0
Visit Date,19/03/2025,3,1,2,6,120,0,0
Visit Date,20/03/2025,6,4,1,11,117,0,0
Visit Date,21/03/2025,6,4,3,13,110,0,0
Visit Date,22/03/2025,9,5,0,14,110,0,0
Visit Date,23/03/2025,1,5,6,12,106,0,0
Visit Date,25/03/2025,2,4,1,7,120,0,0
Visit Date,26/03/2025,2,3,1,6,120,0,0
Visit Date,27/03/2025,5,7,2,14,110,0,0
Visit Date,28/03/2025,7,3,5,15,120,0,0
Visit Date,29/03/2025,4,1,5,10,108,0,0
Visit Date,30/03/2025,17,6,2,25,104,0,0
Visit Date,01/04/2025,3,0,2,5,117,0,0
Visit Date,02/04/2025,2,1,5,8,116,0,0
Visit Date,03/04/2025,5,3,2,10,114,0,0
Visit Date,04/04/2025,12,3,5,20,112,0,0
Visit Date,05/04/2025,11,5,4,20,114,0,0
Visit Date,06/04/2025,2,2,3,7,98,0,0
Visit Date,08/04/2025,2,5,1,8,112,0,0
Visit Date,09/04/2025,5,4,1,10,112,0,0
Visit Date,10/04/2025,8,4,2,14,116,0,0
Visit Date,11/04/2025,5,6,7,18,117,0,0
Visit Date,12/04/2025,6,6,5,17,111,0,0
Visit Date,13/04/2025,1,3,4,8,112,0,0
Visit Date,15/04/2025,2,2,5,9,111,0,0
Visit Date,16/04/2025,0,2,3,5,117,0,0
Visit Date,17/04/2025,10,1,3,14,111,0,0
Visit Date,18/04/2025,3,1,2,6,110,0,0
Visit Date,19/04/2025,2,5,3,10,117,0,0
Visit Date,22/04/2025,1,0,1,2,105,0,0
Visit Date,23/04/2025,4,1,2,7,122,0,0
Visit Date,24/04/2025,5,2,4,11,110,0,0
Visit Date,25/04/2025,15,2,1,18,115,0,0
Visit Date,26/04/2025,11,5,5,21,112,0,0
Visit Date,27/04/2025,0,0,6,7,92,0,0
Visit Date,29/04/2025,3,2,4,9,120,0,0
Visit Date,30/04/2025,7,2,3,12,115,0,0
Visit Date,01/05/2025,4,1,1,6,120,0,0
Visit Date,02/05/2025,9,6,2,17,114,0,0
Visit Date,03/05/2025,4,3,6,13,109,0,0
Visit Date,04/05/2025,7,4,3,15,102,0,0
Visit Date,07/05/2025,2,4,2,8,116,0,0
Visit Date,08/05/2025,3,1,3,7,117,0,0
Visit Date,09/05/2025,3,10,5,19,110,0,0
Visit Date,10/05/2025,6,11,3,20,111,0,0
Visit Date,11/05/2025,1,3,3,8,105,0,0
Visit Date,13/05/2025,6,0,2,8,118,0,0
Visit Date,14/05/2025,1,1,6,8,120,0,0
Visit Date,15/05/2025,0,2,2,5,99,0,0
Visit Date,16/05/2025,13,2,4,19,112,0,0
Visit Date,17/05/2025,10,6,0,16,114,0,0
Visit Date,18/05/2025,4,4,4,12,105,0,0
Visit Date,20/05/2025,1,0,3,4,116,0,0
Visit Date,21/05/2025,1,2,5,9,113,0,0
Visit Date,22/05/2025,5,5,3,13,116,0,0
Visit Date,23/05/2025,12,6,4,22,113,0,0
Visit Date,24/05/2025,8,8,8,24,108,0,0
Visit Date,25/05/2025,0,2,2,4,120,0,0
Visit Date,27/05/2025,2,5,2,9,111,0,0
Visit Date,28/05/2025,5,2,1,8,108,0,0
Visit Date,29/05/2025,4,1,5,10,112,0,0
Visit Date,30/05/2025,6,4,4,14,118,0,0
Visit Date,31/05/2025,4,6,1,11,111,0,0
Visit Date,01/06/2025,1,1,7,9,105,0,0
Visit Date,03/06/2025,3,0,1,4,112,0,0
Visit Date,04/06/2025,6,1,3,10,118,0,0
Visit Date,05/06/2025,7,0,2,9,116,0,0
Visit Date,06/06/2025,7,9,5,21,117,0,0
Visit Date,07/06/2025,7,7,8,23,106,0,0
Visit Date,08/06/2025,3,3,3,9,96,0,0
Visit Date,10/06/2025,2,1,1,4,112,0,0
Visit Date,11/06/2025,2,5,3,10,120,0,0
Visit Date,12/06/2025,2,2,4,8,118,0,0
Visit Date,13/06/2025,6,5,5,16,116,0,0
Visit Date,14/06/2025,7,6,2,15,114,0,0
Visit Date,15/06/2025,9,8,6,24,100,0,0
Visit Date,17/06/2025,4,2,4,10,120,0,0
Visit Date,18/06/2025,6,0,1,7,120,0,0
Visit Date,19/06/2025,3,1,4,8,116,0,0
Visit Date,20/06/2025,5,3,5,13,114,0,0
Visit Date,21/06/2025,8,3,0,11,109,0,0
Visit Date,22/06/2025,0,2,3,5,96,0,0
Visit Date,24/06/2025,2,2,4,8,120,0,0
Visit Date,25/06/2025,3,2,3,8,118,0,0
Visit Date,26/06/2025,2,1,5,8,118,0,0
Visit Date,27/06/2025,3,5,6,14,114,0,0
Visit Date,28/06/2025,4,3,5,12,107,0,0
Visit Date,29/06/2025,3,2,6,11,118,0,0
Visit Date,01/07/2025,3,0,6,9,118,0,0
Visit Date,02/07/2025,2,1,3,6,115,0,0
Visit Date,03/07/2025,1,2,2,5,117,0,0
Visit Date,04/07/2025,10,2,5,17,110,0,0
Visit Date,05/07/2025,7,5,4,16,110,0,0
Visit Date,06/07/2025,6,4,3,14,96,0,0
Visit Date,08/07/2025,3,5,0,8,108,0,0
Visit Date,09/07/2025,2,1,5,8,120,0,0
Visit Date,10/07/2025,3,3,3,9,116,0,0
Visit Date,11/07/2025,4,3,1,8,120,0,0
Visit Date,12/07/2025,6,8,0,15,110,0,0
Visit Date,13/07/2025,1,2,5,8,112,0,0
Visit Date,15/07/2025,3,0,3,6,115,0,0
Visit Date,16/07/2025,4,3,1,8,112,0,0
Visit Date,17/07/2025,1,3,3,7,120,0,0
Visit Date,18/07/2025,6,4,1,11,114,0,0
Visit Date,19/07/2025,6,5,1,12,112,0,0
Visit Date,20/07/2025,3,3,2,8,112,0,0
Visit Date,22/07/2025,2,3,4,9,110,0,0
Visit Date,23/07/2025,4,6,1,11,114,0,0
Visit Date,24/07/2025,3,2,3,8,108,0,0
Visit Date,25/07/2025,5,6,4,15,124,0,0
Visit Date,26/07/2025,10,7,5,22,115,0,0
Visit Date,27/07/2025,2,4,2,9,115,0,0
Visit Date,29/07/2025,5,1,6,12,115,0,0
Visit Date,30/07/2025,4,1,6,11,120,0,0
Visit Date,31/07/2025,5,3,6,14,114,0,0
Visit Date,01/08/2025,3,7,10,20,117,0,0
Visit Date,02/08/2025,7,6,8,21,104,0,0
Visit Date,03/08/2025,1,4,3,8,108,0,0
Visit Date,05/08/2025,0,2,3,5,114,0,0
Visit Date,06/08/2025,5,1,3,9,120,0,0
Visit Date,07/08/2025,4,2,0,6,120,0,0
Visit Date,08/08/2025,3,8,4,15,117,0,0
Visit Date,09/08/2025,1,3,5,9,110,0,0
Visit Date,10/08/2025,3,2,0,5,96,0,0
Visit Date,12/08/2025,1,1,1,3,120,0,0
Visit Date,13/08/2025,2,3,1,6,120,0,0
Visit Date,14/08/2025,3,7,2,12,112,0,0
Visit Date,15/08/2025,6,2,6,14,117,0,0
Visit Date,16/08/2025,6,4,2,12,117,0,0
Visit Date,17/08/2025,2,1,1,4,112,0,0
Visit Date,19/08/2025,2,2,5,9,113,0,0
Visit Date,20/08/2025,3,2,5,10,117,0,0
Visit Date,21/08/2025,1,2,1,4,120,0,0
Visit Date,22/08/2025,8,2,1,11,117,0,0
Visit Date,23/08/2025,3,3,3,9,110,0,0
Visit Date,24/08/2025,3,2,2,7,117,0,0
Visit Date,26/08/2025,1,2,1,4,120,0,0
Visit Date,27/08/2025,0,1,6,7,120,0,0
Visit Date,28/08/2025,3,5,3,12,113,0,0
Visit Date,29/08/2025,2,4,12,18,111,0,0
Visit Date,30/08/2025,7,3,4,14,116,0,0
Visit Date,31/08/2025,2,1,3,6,112,0,0
Visit Date,02/09/2025,3,0,0,3,120,0,0
Visit Date,03/09/2025,1,0,2,3,110,0,0
Visit Date,04/09/2025,3,3,5,11,115,0,0
Visit Date,05/09/2025,9,8,3,21,113,0,0
Visit Date,06/09/2025,6,10,5,21,107,0,0
Visit Date,07/09/2025,1,0,5,6,107,0,0
Visit Date,09/09/2025,5,3,2,10,117,0,0
Visit Date,10/09/2025,3,1,2,6,120,0,0
Visit Date,11/09/2025,7,0,2,9,121,0,0
Visit Date,12/09/2025,10,7,6,23,116,0,0
Visit Date,13/09/2025,9,6,6,22,109,0,0
Visit Date,14/09/2025,3,2,1,6,110,0,0
Visit Date,16/09/2025,3,2,1,6,115,0,0
Visit Date,17/09/2025,5,4,3,12,128,0,0
Visit Date,18/09/2025,2,3,3,9,120,0,0
Visit Date,19/09/2025,11,3,3,18,113,0,0
Visit Date,20/09/2025,6,9,0,16,114,0,0
Visit Date,21/09/2025,2,1,2,5,108,0,0
Visit Date,23/09/2025,2,1,3,7,109,0,0
Visit Date,24/09/2025,4,1,3,8,120,0,0
Visit Date,25/09/2025,5,3,3,11,114,0,0
Visit Date,26/09/2025,5,6,0,11,120,0,0
Visit Date,27/09/2025,4,6,3,13,115,0,0
Visit Date,28/09/2025,3,5,4,12,100,0,0
Visit Date,30/09/2025,3,2,1,6,115,0,0
Visit Date,01/10/2025,2,3,3,8,112,0,0
Visit Date,02/10/2025,5,4,2,11,111,0,0
Visit Date,03/10/2025,3,6,3,12,120,0,0
Visit Date,04/10/2025,13,3,2,18,109,0,0
Visit Date,05/10/2025,1,1,1,3,110,0,0
Visit Date,07/10/2025,2,1,2,5,114,0,0
Visit Date,08/10/2025,2,6,7,15,117,0,0
Visit Date,09/10/2025,7,2,2,11,107,0,0
Visit Date,10/10/2025,8,11,2,21,115,0,0
Visit Date,11/10/2025,8,6,7,21,114,0,0
Visit Date,12/10/2025,1,0,3,4,105,0,0
Visit Date,14/10/2025,2,0,1,3,120,0,0
Visit Date,15/10/2025,3,0,1,4,120,0,0
Visit Date,16/10/2025,5,2,1,8,120,0,0
Visit Date,17/10/2025,6,7,7,20,113,0,0
Visit Date,18/10/2025,3,4,2,9,120,0,0
Visit Date,19/10/2025,2,1,4,7,117,0,0
Visit Date,21/10/2025,2,2,1,5,117,0,0
Visit Date,22/10/2025,2,1,2,5,120,0,0
Visit Date,23/10/2025,1,5,4,10,117,0,0
Visit Date,24/10/2025,6,6,8,20,120,0,0
Visit Date,25/10/2025,7,9,8,24,102,0,0
Visit Date,26/10/2025,0,1,2,3,95,0,0
