date,same_day_covers,walk_in_covers,advance_covers,total_covers,avg_duration_covers_summary,advance_bookings,same_day_bookings,walk_in_bookings,total_bookings,avg_duration_bookings_summary,day_of_week,month,week_of_year,day_of_month,is_weekend
2024-01-02,0,5,7,12,118,2,0,3,5,114,Tuesday,1,1,2,0
2024-01-03,0,16,15,31,116,6,0,5,11,115,Wednesday,1,1,3,0
2024-01-04,0,14,20,34,113,6,0,5,11,112,Thursday,1,1,4,0
2024-01-05,0,19,60,79,112,21,0,7,28,108,Friday,1,1,5,0
2024-01-06,0,43,38,81,108,14,0,13,27,106,Saturday,1,1,6,1
2024-01-07,0,14,40,54,118,10,0,4,14,116,Sunday,1,1,7,1
2024-01-08,0,0,0,0,0,0,0,0,0,0,Monday,1,2,8,0
2024-01-09,0,7,4,11,112,2,0,3,5,114,Tuesday,1,2,9,0
2024-01-10,0,17,16,33,121,6,0,6,12,121,Wednesday,1,2,10,0
2024-01-11,0,10,19,29,114,9,0,4,13,113,Thursday,1,2,11,0
2024-01-12,0,19,60,79,108,18,0,8,26,105,Friday,1,2,12,0
2024-01-13,0,7,75,82,109,28,0,3,31,107,Saturday,1,2,13,1
2024-01-14,0,25,35,60,118,10,0,8,18,116,Sunday,1,2,14,1
2024-01-15,0,0,0,0,0,0,0,0,0,0,Monday,1,3,15,0
2024-01-16,0,8,18,26,114,5,0,4,9,112,Tuesday,1,3,16,0
2024-01-17,0,9,35,44,112,9,0,4,13,111,Wednesday,1,3,17,0
2024-01-18,0,24,28,52,113,12,0,11,23,112,Thursday,1,3,18,0
2024-01-19,0,22,51,73,112,15,0,3,18,109,Friday,1,3,19,0
2024-01-20,0,31,40,71,112,15,0,6,21,107,Saturday,1,3,20,1
2024-01-21,0,17,35,52,118,10,0,4,14,117,Sunday,1,3,21,1
2024-01-22,0,0,0,0,0,0,0,0,0,0,Monday,1,4,22,0
2024-01-23,0,17,25,42,115,7,0,6,13,111,Tuesday,1,4,23,0
2024-01-24,0,13,19,32,118,5,0,5,10,117,Wednesday,1,4,24,0
2024-01-25,0,12,40,52,117,11,0,5,16,116,Thursday,1,4,25,0
2024-01-26,0,8,66,74,107,21,0,4,25,110,Friday,1,4,26,0
2024-01-27,0,16,51,67,107,17,0,5,22,106,Saturday,1,4,27,1
2024-01-28,0,19,21,40,113,7,0,5,12,110,Sunday,1,4,28,1
2024-01-29,0,0,0,0,0,0,0,0,0,0,Monday,1,5,29,0
